[INFO ] [2021-12-01 13:33:14,926] StateFieldCannotBeNumeric - step 05: Verify state message
[INFO ] [2021-12-01 13:33:14,955]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:14,958] StateFieldCannotHaveSpecialCharaters - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:15,136] StateFieldCannotHaveSpecialCharaters - step 02: Input data to state textbox
[INFO ] [2021-12-01 13:33:15,217] StateFieldCannotHaveSpecialCharaters - step 03: Verify state message
[INFO ] [2021-12-01 13:33:15,249]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:15,249] StateFieldCannotHaveSpecialCharaters - step 04: Input data to state textbox
[INFO ] [2021-12-01 13:33:15,313] StateFieldCannotHaveSpecialCharaters - step 05: Verify state message
[INFO ] [2021-12-01 13:33:15,340]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:15,343] StateFieldCannotHaveFirstBlankSpace - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:15,521] StateFieldCannotHaveFirstBlankSpace - step 02: Input data to state textbox
[INFO ] [2021-12-01 13:33:15,601] StateFieldCannotHaveFirstBlankSpace - step 03: Verify state message
[INFO ] [2021-12-01 13:33:15,634]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:15,637] PinFieldMustBeNumeric - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:15,835] PinFieldMustBeNumeric - step 02: Input data to pin textbox
[INFO ] [2021-12-01 13:33:15,915] PinFieldMustBeNumeric - step 03: Verify pin message
[INFO ] [2021-12-01 13:33:15,952]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:15,954] PinFieldCannotBeEmpty - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:16,132] PinFieldCannotBeEmpty - step 02: Click Tab keybord focus out pin textbox
[INFO ] [2021-12-01 13:33:16,273] PinFieldCannotBeEmpty - step 03: Verify state message
[INFO ] [2021-12-01 13:33:16,307]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:16,312] PinFieldMustHaveSixDigits - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:16,490] PinFieldMustHaveSixDigits - step 02: Input data to pin textbox
[INFO ] [2021-12-01 13:33:16,566] PinFieldMustHaveSixDigits - step 03: Verify pin message
[INFO ] [2021-12-01 13:33:16,600]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:16,602] PinFieldCannotHaveSpecialCharaters - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:16,789] PinFieldCannotHaveSpecialCharaters - step 02: Input data to pin textbox
[INFO ] [2021-12-01 13:33:16,869] PinFieldCannotHaveSpecialCharaters - step 03: Verify pin message
[INFO ] [2021-12-01 13:33:16,904]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:16,904] PinFieldCannotHaveSpecialCharaters - step 04: Input data to pin textbox
[INFO ] [2021-12-01 13:33:16,968] PinFieldCannotHaveSpecialCharaters - step 05: Verify pin message
[INFO ] [2021-12-01 13:33:16,998]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:17,000] PinFieldCannotHaveFirstBlankSpace - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:17,215] PinFieldCannotHaveFirstBlankSpace - step 02: Input data to pin textbox
[INFO ] [2021-12-01 13:33:17,291] PinFieldCannotHaveFirstBlankSpace - step 03: Verify pin message
[INFO ] [2021-12-01 13:33:17,324]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:17,326] PinFieldCannotHaveBlankSpace - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:17,499] PinFieldCannotHaveBlankSpace - step 02: Input data to pin textbox
[INFO ] [2021-12-01 13:33:17,575] PinFieldCannotHaveBlankSpace - step 03: Verify pin message
[INFO ] [2021-12-01 13:33:17,607]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:17,609] TelephoneFieldCannotBeEmpty - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:17,798] TelephoneFieldCannotBeEmpty - step 02: Click Tab keybord focus out telephone textbox
[INFO ] [2021-12-01 13:33:17,957] TelephoneFieldCannotBeEmpty - step 03: Verify telephone message
[INFO ] [2021-12-01 13:33:17,993]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-12-01 13:33:17,996] TelephoneFieldCannotHaveFirstCharacterAsBlackSpace - step 01: Click New Customer link
[INFO ] [2021-12-01 13:33:18,183] TelephoneFieldCannotHaveFirstCharacterAsBlackSpace - step 02: Input data to telephone textbox
[INFO ] [2021-12-01 13:33:18,258] TelephoneFieldCannotHaveFirstCharacterAsBlackSpace - step 03: Verify telephone message
[INFO ] [2021-12-01 13:33:18,292]  -------------------------- PASSED -------------------------- 
